Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,161
2016,New,CCC Transfer,1888
2016,New,Freshman,4996
2012,New,Other Transfer,126
2012,New,CCC Transfer,1529
2012,New,Freshman,4741
2014,New,Other Transfer,120
2014,New,CCC Transfer,1474
2014,New,Freshman,4738
2015,New,Other Transfer,124
2015,New,CCC Transfer,1419
2015,New,Freshman,4473
2013,New,Other Transfer,119
2013,New,CCC Transfer,1376
2013,New,Freshman,4624
