Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,365
2016,New,CCC Transfer,3321
2016,New,Freshman,5762
2014,New,Other Transfer,281
2014,New,CCC Transfer,2915
2014,New,Freshman,5377
2013,New,Other Transfer,275
2013,New,CCC Transfer,2858
2013,New,Freshman,5113
2015,New,Other Transfer,231
2015,New,CCC Transfer,2756
2015,New,Freshman,5369
2012,New,Other Transfer,231
2012,New,CCC Transfer,2677
2012,New,Freshman,5208
