Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,296
2016,New,CCC Transfer,3067
2016,New,Freshman,6545
2012,New,Other Transfer,236
2012,New,CCC Transfer,2946
2012,New,Freshman,5619
2014,New,Other Transfer,253
2014,New,CCC Transfer,2922
2014,New,Freshman,5764
2015,New,Other Transfer,239
2015,New,CCC Transfer,2877
2015,New,Freshman,5679
2013,New,Other Transfer,228
2013,New,CCC Transfer,2608
2013,New,Freshman,5696
