Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,4
2016,New,CCC Transfer,170
2016,New,Freshman,2048
2012,New,Other Transfer,5
2012,New,CCC Transfer,127
2012,New,Freshman,1492
2014,New,Other Transfer,1
2014,New,CCC Transfer,107
2014,New,Freshman,1551
2013,New,Other Transfer,5
2013,New,CCC Transfer,99
2013,New,Freshman,1654
2015,New,Other Transfer,4
2015,New,CCC Transfer,93
2015,New,Freshman,1788
