Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,193
2016,New,CCC Transfer,2310
2016,New,Freshman,6551
2014,New,Other Transfer,177
2014,New,CCC Transfer,1871
2014,New,Freshman,5435
2015,New,Other Transfer,140
2015,New,CCC Transfer,1829
2015,New,Freshman,5756
2013,New,Other Transfer,233
2013,New,CCC Transfer,1825
2013,New,Freshman,5460
2012,New,Other Transfer,101
2012,New,CCC Transfer,1624
2012,New,Freshman,5077
