Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,363
2016,New,CCC Transfer,2290
2016,New,Freshman,6182
2013,New,Other Transfer,168
2013,New,CCC Transfer,2078
2013,New,Freshman,4706
2014,New,Other Transfer,151
2014,New,CCC Transfer,2042
2014,New,Freshman,5466
2012,New,Other Transfer,151
2012,New,CCC Transfer,2039
2012,New,Freshman,4162
2015,New,Other Transfer,160
2015,New,CCC Transfer,2019
2015,New,Freshman,5550
