Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2012,New,Other Transfer,57
2012,New,CCC Transfer,1165
2012,New,Freshman,3827
2016,New,Other Transfer,68
2016,New,CCC Transfer,1068
2016,New,Freshman,4221
2015,New,Other Transfer,90
2015,New,CCC Transfer,1067
2015,New,Freshman,3620
2014,New,Other Transfer,82
2014,New,CCC Transfer,989
2014,New,Freshman,4035
2013,New,Other Transfer,58
2013,New,CCC Transfer,952
2013,New,Freshman,3302
