Academic Yr,Enrollment Status,UG Entry Level,Number of Records
2016,New,Other Transfer,266
2016,New,CCC Transfer,2621
2016,New,Freshman,5748
2013,New,Other Transfer,206
2013,New,CCC Transfer,2498
2013,New,Freshman,5228
2015,New,Other Transfer,256
2015,New,CCC Transfer,2423
2015,New,Freshman,5292
2014,New,Other Transfer,267
2014,New,CCC Transfer,2197
2014,New,Freshman,4922
2012,New,Other Transfer,235
2012,New,CCC Transfer,2009
2012,New,Freshman,4576
